ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (June 2014)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2014-06-01,01,2,2,2,2,2,2*,2,2,2,2,2,1,3,2,3
,02,2,2,2,2,3,2*,2,2,2,2,2,1,3,2,2
,03,2,2,2,2,3,2*,2,2,2,2,2,1,2,2,2
,04,2,2,2,2,3,2*,2,2,2,2,2,1,2,2,2
,05,2,2,2,2,3,2*,2,2,2,2,2,1,2,2,2
,06,2,2,2,2,2,2*,2,2,2,2,2,1,2,2,2
,07,2,2,2,2,2,2*,2,2,2,2,2,1,2,2,2
,08,2,2,2,2,2,2*,2,2,2,2,2,1,2,3,2
,09,2,2,2,2,2,2*,2,2,2,2,2,1,3,3,2
,10,2,2,2,2,2,2*,2,2,2,2,2,2,3,3,3
,11,2,2,2,2,2,2*,2,2,2,2,2,2,4,3,3
,12,2,2,3,2,2,2*,2,2,2,2,2,2,4,2,3
,13,2,2,3,2,2,2*,3,2,2,3,2,2,4,2,3
,14,2,2,3,2,3,2*,2,2,2,3,2,3,5,2,3
,15,2,2,3,2,3,2*,2,2,2,3,2,3,5,2,3
,16,2,2,3,2,3,2*,2,2,2,3,2,3,4,3,3
,17,2,2,2,2,2,2*,2,2,2,3,2,3,3,2,3
,18,2,2,2,2,2,2*,2,2,2,2,2,2,3,2,3
,19,2,2,3,2,2,2*,2,2,2,2,2,2,3,2,3
,20,2,2,3,2,2,2*,2,2,2,2,2,2,3,2,3
,21,2,2,3,2,2,2*,2,2,2,2,2,2,3,2,3
,22,2,2,2,2,2,2*,2,2,2,2,2,2,3,2,3
,23,2,2,2,2,2,2*,2,2,2,2,2,2,3,2,2
,24,2,2,2,2,2,2*,2,2,2,2,2,2,3,2,2
,Daily Max,2,2,3,2,3,2,3,2,2,3,2,3,5,3,3
2014-06-02,01,2,2,2,2,2,2*,2,2,1,2,2,1,2,2,2
,02,2,2,2,2,2,2*,2,2,1,2,2,1,2,2,2
,03,2,2,2,2,2,2*,2,2,2,2,2,1,2,2,2
,04,2,2,2,2,2,2*,2,2,2,2,2,1,2,2,2
,05,2,2,2,2,2,2*,2,2,2,2,2,1,2,2,2
